gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1.0,-0.4402778489254012,0,0,-0.6686396585383633,1,0,0,0,0,0,0,0,0,-1.5233963804724293,-0.8626634661706264,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,-0.4402778489254012,1,0,1.0429185996853163,1,1,0,0,1,0,1,1,0,1.182865664845112,1.5008732149395272,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,-0.4402778489254012,0,0,0.676156115780242,1,1,0,1,1,0,1,1,1,1.2942413141302935,1.2162405921914878,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,1.491183857791518,1,1,1,1,1,1,1,1,0,1.6117450307492434,2.478216357612133,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,0.7984102770819335,1,0,0,0,0,0,0,0,0,-1.4668773942680091,-0.5553635276997089,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,1,1.5726866319926456,1,1,1,0,1,0,1,1,0,1.393980701549859,2.2518080570422367,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,-0.913147981141746,1,0,0,0,1,1,0,0,0,-0.3182121158193473,-0.7736937001736237,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-0.4648827230355443,1,0,0,1,1,0,0,1,1,0.8404271013712707,-0.1845862766494365,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,1,0,-0.8316452069406185,1,0,0,0,0,0,0,0,0,-1.4951368873702193,-0.917643294277432,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-1.2799104650468203,1,0,0,0,0,0,0,0,0,-1.4835006255046033,-0.9980272902489239,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,0,1.0429185996853163,1,1,0,1,0,1,0,0,1,-0.1619537421953616,0.5403263987178559,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,-0.4402778489254012,1,1,0.676156115780242,1,0,1,1,0,1,0,0,0,-0.17192768093731806,0.30425083009866954,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-0.09812023913047009,1,0,1,1,0,0,0,0,1,-0.3148874695720286,-0.331272722895053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.4402778489254012,1,1,0.5946533415791145,1,1,0,1,0,0,1,1,1,1.1496192023719234,1.0894846095269413,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,1,1,-1.2799104650468203,0,0,0,1,0,0,0,0,0,-1.149373677649059,-0.993590941212606,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,1,-0.6278882714377995,1,0,0,0,0,0,1,1,1,-0.002370722324056803,-0.524397369998445,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2.2712930083598994,1,0,1.5726866319926456,1,1,1,1,1,1,0,0,1,1.049879814952358,1.9801975533560259,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,2.2712930083598994,1,0,-1.2391590779462565,1,0,0,0,1,0,1,1,1,1.021620321850148,-0.9267367062324717,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-1.2799104650468203,1,0,0,0,0,0,0,0,0,-1.4818383023809438,-0.9980052188606836,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,2.2712930083598994,0,0,-1.2799104650468203,1,0,0,0,0,0,0,0,0,-0.6490144174275727,-0.9869474533522493,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,1.6134380190932094,1,1,1,1,0,1,1,0,0,1.1679047567321774,2.1941796623465843,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-1.116904916644565,1,0,0,0,0,0,0,0,1,0.16386159004188555,-0.867033601042223,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,0.5539019544785507,1,0,0,0,1,0,0,0,1,0.3334185486551466,0.559396078157551,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,-0.4402778489254012,0,0,0.06488530927178511,1,1,0,1,1,0,1,1,1,1.3823444396842428,0.5598154345341182,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,-0.8723965940411823,1,1,0,0,1,0,1,1,1,1.0997495086621407,-0.5189678084913096,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.4402778489254012,1,1,-0.913147981141746,1,0,0,1,0,0,0,0,0,-0.5060546287928623,-0.7969348719907519,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,1,1.5319352448920818,1,1,1,1,0,0,1,0,1,0.14723835880529132,1.1438685101512567,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,1.2466755351881353,1,1,1,1,1,1,1,0,1,0.5013131841447482,1.139056947514852,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,-0.4402778489254012,1,0,-0.7908938198400547,1,1,1,1,0,1,1,0,1,0.3799635961176106,-0.5736827799392307,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,0.676156115780242,1,1,0,0,0,0,0,1,1,0.6559092346450749,0.7176037890646495,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,0,-1.2391590779462565,1,0,0,1,0,0,0,0,0,-0.5160285675348187,-0.9641035665234481,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,0,0,-1.2391590779462565,1,0,0,0,0,0,1,0,1,0.5279103541232995,-0.9432902474127625,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,0,0.7984102770819335,1,1,1,0,0,1,1,1,1,0.4979885378974296,0.8549319666963417,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,2.2712930083598994,0,0,0.4316477931768593,1,1,0,1,0,0,1,0,1,0.8470763938659085,0.6876087724459627,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,2.2712930083598994,1,0,-0.30187717463328906,1,1,1,0,0,1,1,0,1,0.15721229754724778,-0.2332536877194913,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,2.2712930083598994,1,0,-0.9946507553428736,1,1,0,1,0,0,0,0,1,0.5279103541232995,-0.72736585625705,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,2.2712930083598994,1,1,1.124421373886444,1,0,1,1,1,1,0,1,1,0.3350808717788059,0.9602345599912314,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,2.2712930083598994,0,0,-0.5871368843372357,1,1,0,0,0,0,1,1,1,1.0199579987264886,-0.23329783049597214,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,1,1,0.06488530927178511,1,1,0,0,0,0,0,0,0,-1.3239176056332986,-0.6121532096422264,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,1.6134380190932094,1,1,0,0,1,1,1,1,1,1.4205778715284096,2.459919176760852,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,-0.4402778489254012,1,0,0.5946533415791145,1,1,0,0,1,0,1,1,1,1.1878526342160904,1.0709225720167754,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,0,1.124421373886444,1,1,0,1,0,0,1,0,1,0.8354401320002928,1.3991682579278206,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.4402778489254012,1,0,1.6134380190932094,0,0,1,1,1,0,0,0,0,-0.7537407742181164,0.3005869796507651,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,-0.5871368843372357,1,0,0,0,1,1,0,0,1,-0.3448092857978982,-0.5844315460122995,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-0.9538993682423098,1,1,0,0,0,0,1,1,0,0.9850492131296409,-0.6285081083283536,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,-1.1984076908456927,1,0,0,1,0,1,1,1,1,0.3500417798917408,-0.8991695423202276,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,1,0,0.5946533415791145,1,1,0,1,0,0,0,0,1,0.4697290447952196,0.6044437815561821,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,-0.05736885202990629,1,0,0,1,1,1,1,1,0,0.47970298353717605,0.0954113545681213,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,1,0.7169075028808058,1,0,0,0,0,0,0,0,0,-1.4835006255046033,-0.5959969534502626,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-0.913147981141746,1,0,1,0,1,0,0,0,1,0.5013131841447482,-0.6152211326076403,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,0,-1.2799104650468203,1,0,0,0,0,1,0,0,0,-0.5226778600294566,-0.9852700278459797,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,1,0.7984102770819335,1,0,0,0,0,0,0,0,1,-1.4751890098863063,-0.525478868022224,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1.0,2.2712930083598994,1,1,1.2874269222886991,1,1,1,0,1,1,1,1,1,1.5568883676684822,2.1267736426604404,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.4402778489254012,1,1,1.2059241480875715,1,1,0,0,0,0,0,0,1,-1.3471901293645305,-0.37806406596467484,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,-0.4402778489254012,0,1,-1.1984076908456927,1,0,1,0,0,1,0,1,1,-0.009020014818694591,-0.9286127742329047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.2712930083598994,0,0,0.9614158254841887,1,1,1,1,1,0,1,1,0,1.5203172589479752,1.703223702327401,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,0.5539019544785507,1,0,0,0,0,0,0,1,0,-0.3032512077064126,0.18001098569352725,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,1,1,-0.9946507553428736,1,0,1,1,0,0,0,0,0,-0.3364976701796011,-0.7940435201312611,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2.2712930083598994,0,0,-0.09812023913047009,1,0,1,1,0,0,1,1,1,0.33175622553148726,-0.07493561987119053,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,1,1,0.5131505673779869,1,1,0,0,0,0,0,0,1,-1.2923334662837695,-0.46988104104468753,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,1,-1.2799104650468203,1,0,0,0,0,0,1,0,1,0.48468995290815403,-0.9718947665723049,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,1,1,-0.8723965940411823,0,0,1,0,0,0,1,1,0,-0.4728081663196739,-0.7573608728757368,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,1,0,-1.0354021424434374,1,0,0,0,1,0,0,0,1,0.3450548105207628,-0.7875766033768274,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.4402778489254012,0,0,0.3908964060762955,1,0,0,1,1,1,1,1,1,1.2975659603776122,0.9033565924957522,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,0,0.676156115780242,1,0,0,0,0,0,0,0,1,-1.4835006255046033,-0.5772583448341735,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-0.9538993682423098,1,1,0,1,0,0,1,1,1,1.1479568792482642,-0.6013603007926768,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,1,0,0.1056366963723489,1,0,1,0,0,0,1,0,1,-0.08714920163068755,-0.02896091816646319,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,0.6354047286796782,1,0,0,0,0,0,0,0,0,-1.4668773942680091,-0.540332912308005,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,0.5539019544785507,1,0,0,0,0,0,0,0,1,-1.4901499179992408,-0.5976743789565321,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,-0.4402778489254012,1,0,-0.13887162623103388,0,0,0,0,0,0,1,0,0,-1.0313487358692401,-0.5614110880775751,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,1,1,-0.09812023913047009,1,0,0,1,1,0,0,0,0,0.574455401585763,0.1276355813990873,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.2712930083598994,0,0,-1.2799104650468203,1,0,0,0,0,1,0,0,0,0.33009390240782793,-0.973947405678661,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,1,1,1.3689296964898268,1,1,1,0,1,1,1,1,1,0.6392860034084806,1.5155065453429042,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,-0.4402778489254012,0,0,1.328178309389263,1,1,1,1,1,0,1,1,1,1.5386028133082286,2.1303050647789026,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,-0.4402778489254012,0,0,1.6134380190932094,1,1,0,1,1,0,1,1,1,1.201151219205366,2.2857097093794723,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-0.8316452069406185,1,1,1,0,0,0,0,0,1,0.4713913679188789,-0.5975640220153301,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,1,1,1.5726866319926456,1,1,1,1,0,1,0,0,1,0.06910917199329812,1.089285967032778,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-1.116904916644565,1,0,0,0,0,0,0,0,0,-1.4535788092787338,-0.9566655086864374,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,0,0.7984102770819335,1,0,0,0,0,0,0,0,0,-1.455241132402393,-0.5181732385146557,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,2.2712930083598994,1,0,-0.30187717463328906,1,0,0,1,1,0,1,1,1,1.1213597092697134,0.10304805489929551,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,0,-1.2799104650468203,1,0,0,0,0,0,0,0,0,-1.4818383023809438,-0.9980052188606836,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,1,-1.2799104650468203,1,0,0,0,0,0,0,0,0,-1.5067731492358352,-0.9983362896842894,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,0,0.2278908576740403,1,1,0,0,1,1,1,0,0,1.0049970906135537,0.584689889081035,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,2.2712930083598994,1,0,1.3689296964898268,0,0,0,1,1,0,1,0,0,-0.6390404786856162,0.32939014130447103,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,-0.4402778489254012,1,0,1.4504324706909542,1,1,0,1,1,1,1,1,1,1.5036940277113808,2.353159871842097,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-1.116904916644565,0,0,0,0,0,0,0,0,0,-1.3455278062408713,-0.9626909976760634,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,1,1.6134380190932094,1,1,1,1,0,0,1,1,1,1.3092022222432285,2.2168469780694626,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,-0.01661746492934249,0,0,1,0,0,0,0,0,0,-1.1510360007727187,-0.5974315936858877,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,0,0.4316477931768593,1,1,0,0,0,0,1,1,0,0.9833868900059811,0.7240486344308429,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,1,1,1.6134380190932094,1,0,0,0,0,0,0,0,0,-1.5084354723594946,-0.40514565933563046,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,-0.4402778489254012,1,0,0.9206644383836249,1,1,1,1,0,0,1,0,1,1.0631783999416335,1.3056738573415383,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,0.7984102770819335,1,0,1,0,1,1,0,0,0,-0.22678434401807898,0.3360115577765873,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,0.4316477931768593,1,0,0,1,1,0,1,0,1,0.8936214413283726,0.7385274651165371,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,2.2712930083598994,1,0,0.1871394705734765,1,1,0,0,0,0,0,0,1,0.38993753485956706,0.2591589839235575,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,1,1,1.2874269222886991,0,0,0,1,0,1,1,1,1,-0.3381599933032604,0.5043058931095432,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,-0.4402778489254012,1,1,-1.1984076908456927,1,0,1,1,0,0,1,0,0,0.833777808876633,-0.8972714029315542,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,0.1463880834729127,0,0,1,0,0,0,0,0,0,-1.121114184546849,-0.5097198968185872,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,-0.913147981141746,1,1,1,0,0,0,1,1,1,1.1795410185977933,-0.5369559899072256,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,0.3501450189757317,1,0,0,0,0,0,0,0,0,-1.4668773942680091,-0.6382636619306049,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,-0.4402778489254012,1,1,-0.22037440043216147,1,1,0,1,0,1,0,0,1,0.6791817583763069,-0.0571460809494382,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,1,1,0.9614158254841887,1,1,0,0,1,0,1,1,1,1.1645801104848583,1.4277507056991225,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-1.0761535295440012,1,0,0,0,0,0,0,0,0,-1.4652150711443495,-0.9571510792277259,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,0,-1.1984076908456927,1,1,0,0,0,0,0,0,1,0.3201199636658715,-0.9055923162981803,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,1,1,-1.0354021424434374,1,0,1,0,0,0,0,0,0,-0.4678211969486954,-0.8522678423094038,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,1,-1.1576563037451288,1,0,0,0,0,0,0,0,0,-1.4602281017733714,-0.9791562533033924,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,0,0.02413392217122131,1,0,1,0,0,1,1,0,1,0.8038559926507637,0.32956671241039415,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,2.2712930083598994,0,0,-0.22037440043216147,1,1,0,0,1,0,0,0,1,0.4414695516930091,-0.06425306796284298,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,1,0,1.6134380190932094,1,1,0,0,0,0,0,0,1,-1.3704626530957627,-0.24592266456947381,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-1.2799104650468203,1,0,0,0,0,0,0,0,0,-1.4967992104938788,-0.998203861354847,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,2.2712930083598994,0,0,1.5726866319926456,0,0,1,1,0,0,1,1,1,-0.2766540377278617,0.7523220827667794,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,-0.7908938198400547,1,1,0,0,0,0,0,1,1,0.7041166052311982,-0.4703003974212548,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,1,1,-0.30187717463328906,0,0,1,1,1,0,1,1,1,-0.20517414341050652,-0.34361062892142963,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,-0.4402778489254012,0,0,1.4096810835903903,1,0,0,0,0,1,0,0,0,-0.4728081663196739,0.4321765963399563,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-1.2799104650468203,0,0,0,0,0,0,0,1,1,-0.9748297496648196,-0.9912734454473654,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,0,-1.2391590779462565,1,0,0,0,0,0,0,0,0,-0.6789362336534422,-0.9710560538191702,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,0.4316477931768593,1,1,0,0,0,0,0,0,1,-1.2989827587784073,-0.4824175895652276,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-0.3833799488344167,1,0,1,0,0,0,0,0,1,0.34006784114978433,-0.2218427799992109,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,1.2874269222886991,1,0,0,0,0,0,0,0,0,-1.4818383023809438,-0.44288773322669334,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,1,1.0021672125847525,1,0,0,0,0,0,0,0,1,-1.5017861798648569,-0.49020878961408454,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,2.2712930083598994,1,0,-1.2799104650468203,1,0,0,0,0,0,0,0,1,0.18879643689677691,-0.975823473679094,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2.2712930083598994,1,1,1.6134380190932094,1,1,1,1,1,1,1,1,1,0.7739341764248938,1.8295382572271397,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-0.9946507553428736,1,1,1,0,0,1,0,1,0,0.21206896062800892,-0.75811130007591,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,1,0,1.1651727609870077,1,1,0,1,0,0,1,1,1,1.206138188576344,1.6289534808984967,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,-0.4402778489254012,0,0,1.2874269222886991,1,1,1,1,0,0,0,0,1,0.649259942150437,1.3278114597466475,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,2.2712930083598994,1,0,1.5726866319926456,1,1,0,0,0,0,0,0,0,-1.357164068106487,-0.2316866191544238,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,-0.4402778489254012,1,1,1.328178309389263,1,1,1,1,0,1,1,0,1,1.139645263629967,1.8255874787321102,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,-0.4402778489254012,0,0,-1.1984076908456927,1,0,0,0,0,0,0,0,0,-1.5017861798648569,-0.9798404663388445,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,0,-1.2799104650468203,1,0,0,0,0,0,0,0,1,-0.6357158324382973,-0.9867708822463261,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,1,-0.09812023913047009,1,0,0,1,1,0,1,0,0,-0.009020014818694591,-0.15498854501907666,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,-0.4402778489254012,1,1,-0.7093910456389271,1,0,0,1,1,1,0,1,1,0.15721229754724778,-0.5339763524947733,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,1,-0.9946507553428736,1,0,0,0,0,1,1,1,1,0.12562815819771864,-0.7578023006405445,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,0,-1.0354021424434374,1,1,0,0,0,0,1,1,0,1.0049970906135537,-0.7175661598783178,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,-0.4402778489254012,1,1,1.5319352448920818,1,1,1,1,1,0,1,1,1,1.4421880721359823,2.4938429004863276,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,-0.4402778489254012,1,1,1.2059241480875715,1,0,1,1,1,1,1,1,0,0.7091035746021762,1.295234090703835,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
